0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
-1.0919,0.375148,-1.10472,-1.72566,0.604735,-0.659101,0.0498094,-1.45468,-1.31026,-0.803683,-1.65408,1.17174,-0.827431,1.84204,1.28062,1.99476,0.0
-0.281625,0.315796,2.17072,0.871269,1.4064,0.107957,0.310565,-0.378339,-1.1618,-1.24068,-1.65408,-1.01041,-2.11063,-0.204697,0.847213,0.0679849,0.0
-0.881828,-1.10867,-1.18089,0.871269,-0.168302,0.838488,-0.471702,0.143522,-1.69624,-0.439517,-1.11545,-0.501243,0.500015,-1.07757,1.28062,-0.0995609,1.0
-1.12191,-0.159026,-0.533424,0.871269,0.00348431,0.546275,-0.276135,0.176139,-0.983659,-0.439517,-1.3309,-1.22863,0.101782,-1.04747,1.28062,-0.797669,1.0
1.06883,0.909323,-0.457251,0.107466,-1.4567,-0.111203,-1.51472,-0.247874,0.0852138,-0.0753504,1.0391,0.22614,1.20799,-0.325093,0.461966,-0.797669,0.0
1.57901,-0.811907,1.78985,0.871269,-1.31354,0.765435,-1.6777,0.306604,0.827487,1.1264,1.0391,1.31721,1.82746,-0.0542016,1.1843,-0.797669,0.0
-0.761788,-0.633848,0.990035,-0.503576,1.4064,1.27681,-0.406513,1.67649,-1.69624,1.23565,0.0156905,1.24448,-0.252204,0.126393,-0.477073,-0.797669,0.0
-0.881828,0.0190318,1.02812,0.871269,0.661997,0.107957,-0.243541,-0.345723,-1.33995,-1.24068,-1.65408,-0.173921,-0.915927,0.306987,1.28062,0.48685,0.0
-0.491696,0.909323,-1.25707,-1.62382,-0.397349,0.875014,-0.406513,1.38294,-0.389841,-0.51235,-1.65408,-1.30136,-1.09292,-1.01737,1.28062,-0.602198,0.0
-0.663363,0.199165,2.19392,0.797872,0.174366,1.00627,-1.34032,0.698491,-0.0942873,1.64652,0.99623,0.73408,0.565018,-0.366956,-1.14368,-0.824677,0.0
