0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,label
-0.87555,1.78468,1.98268,2.58608,-1.14506,-2.05408,-2.08449,-2.14746,2.32137,0.749778,1.78218,-1.70743,2.22576,0.759953,1.65901,2.02001,-2.61986,2.53625,3.05041,2.4682,1.77681,-2.80608,2.53252,1.84502,1.77361,2.04772,1.05302,1.6296,1.84548,1.94786,2.01595,2.05366,0.0
-0.368788,-0.0346011,-0.324182,-0.651083,-0.472861,1.24951,1.23772,1.21877,0.00604665,-0.268203,-0.469482,0.390975,-0.7106,-0.0484634,-0.605188,-0.371596,1.42995,-0.588747,0.110169,-0.537495,-0.225976,1.71224,-0.597562,0.276308,-0.508551,-0.6192,0.498886,0.374704,0.130408,0.0410572,0.0422469,0.0420569,1.0
-0.623348,0.398531,-0.542252,0.45642,0.169027,-0.231173,-0.172985,-0.0775074,-1.09503,-0.568888,-0.0846936,-0.245345,1.17814,-0.879627,0.531768,1.39088,-0.12731,0.140843,-0.0284645,-0.314228,0.74677,-0.448824,-0.108271,0.25512,-0.404718,0.551267,-0.227945,0.03629,0.117276,0.079726,0.0890412,0.100945,0.0
-0.639209,0.743082,0.0736198,0.584499,-0.363511,-0.535856,-0.448434,-0.396223,-0.0121534,-0.495558,-0.205947,0.32757,0.0340812,0.429294,-0.166559,0.566149,-0.666084,0.735426,-0.732188,0.337025,0.988718,-1.66686,0.405907,-0.357954,-0.0333815,0.821639,0.356994,0.295508,0.2367,0.255839,0.280596,0.281526,1.0
-0.879797,1.81287,2.1928,1.57229,-1.26982,-0.570677,-0.612534,-0.69257,1.85802,1.50856,2.51852,0.465475,1.6764,-0.813694,1.12013,1.76625,-0.880617,1.74288,-0.129299,1.27851,1.76067,-1.7627,1.51619,-0.169417,0.829585,1.79539,1.17976,1.92955,2.27919,2.33714,2.30214,2.2529,0.0
-0.463136,0.227405,-0.242986,-0.0664835,-0.183599,-0.793055,-0.822619,-0.857969,0.16439,-0.220969,-0.466764,-0.824138,0.680666,1.3034,0.204208,0.788417,-0.67469,-0.319785,0.543752,-0.414743,0.12706,-0.412504,-0.254461,0.705503,-0.395893,0.243696,0.181091,-0.01842,-0.154965,-0.168838,-0.181131,-0.151267,1.0
-0.061966,-0.549768,-0.716547,-0.670332,0.0543902,1.09441,1.09483,1.09434,-0.311679,-0.772286,-0.768948,0.224517,-0.722134,0.0660937,-0.635601,-0.628685,1.34116,-0.707882,0.159332,-0.592275,-0.541943,1.48413,-0.732168,0.385608,-0.558583,-0.768418,0.0244465,-0.457619,-0.686753,-0.720565,-0.713369,-0.720545,1.0
-0.835811,1.49817,1.7659,1.13128,-1.16015,-0.830654,-0.918626,-1.03698,2.05034,1.42046,1.20701,-0.416152,1.13475,1.62874,0.979742,1.21303,-1.04763,1.27782,2.22071,1.33241,1.33799,-0.405557,1.28112,0.997493,0.937796,1.35425,1.00114,1.69463,1.8208,1.71697,1.67179,1.68245,0.0
0.355575,-0.877669,-0.72845,-0.69333,0.294489,1.47399,1.46941,1.48689,-0.444276,-0.261137,-0.581791,1.11394,-0.481936,0.286833,-0.556995,-0.649014,1.46318,-0.790616,0.14537,-0.600591,-1.0436,1.36041,-0.778623,0.370267,-0.556205,-1.01088,-0.183459,-0.752587,-0.883165,-0.91163,-0.941793,-0.971477,1.0
-0.0578882,-0.545871,-0.767339,-0.606407,0.556635,1.20333,1.23334,1.24814,-1.0363,-0.543272,-0.312529,1.14435,-0.649274,-0.214582,-0.576654,-0.304783,1.12489,-0.586908,-0.00486745,-0.543242,-0.185358,0.979313,-0.667244,0.286133,-0.533657,-0.582211,-0.4747,-0.699286,-0.62054,-0.552847,-0.498646,-0.458458,0.0
2.76822,-1.70205,-0.913049,-0.82078,3.18085,-0.478987,-0.450843,-0.422018,-1.13814,-0.862367,-0.671462,-0.248544,-0.855421,0.0592375,-0.649624,-1.07655,-0.476269,-0.781281,0.0849633,-0.590946,-1.13275,0.158753,-0.803999,0.374684,-0.557444,-1.26457,-3.39675,-2.15573,-1.5562,-1.37788,-1.29035,-1.2447,0.0
-0.0379092,-0.306762,-0.725262,0.211934,1.36359,-0.599931,-0.560203,-0.461577,-1.13765,-0.754746,-0.51024,-0.406297,0.269032,0.515187,-0.177643,0.776284,-0.63803,0.0680225,0.848344,-0.294039,0.312489,-0.238959,-0.266904,0.670812,-0.432313,0.148099,-1.2688,-1.06739,-0.756505,-0.641638,-0.595213,-0.576784,0.0
-0.196262,-0.269372,-0.370506,-0.716517,-0.329309,0.391265,0.38336,0.355865,0.0665634,-0.45585,-0.342372,-0.196282,-0.679997,0.21868,-0.537725,-0.508901,0.668423,-0.668503,0.190355,-0.545781,-0.518356,1.08748,-0.636351,0.374465,-0.517246,-0.540653,0.369927,0.10996,-0.111949,-0.178652,-0.205887,-0.242797,1.0
-0.630594,0.726182,0.181601,0.886923,-0.287482,1.93851,1.95012,1.9451,-0.0038779,0.416931,0.298886,2.47289,0.212243,-1.26887,0.138784,0.0999051,1.30213,1.074,-0.471691,0.700535,0.968819,1.12491,0.549738,-0.405078,0.167918,0.523563,0.202469,0.263225,0.240208,0.216571,0.203358,0.189706,0.0
0.530369,-0.870393,-0.518775,-0.685194,0.225546,0.501265,0.472121,0.486793,-0.187867,0.311629,-0.333317,0.356644,-0.543532,0.204378,-0.556925,-0.905233,0.670492,-0.735896,0.125731,-0.567969,-1.04238,0.490541,-0.715997,0.338414,-0.505343,-0.906313,-0.158093,-0.635801,-0.741573,-0.759484,-0.785199,-0.815273,1.0
-0.0515817,-0.464585,-0.60014,-0.597852,0.0518816,-0.539474,-0.521484,-0.572796,-0.40178,-0.327071,-0.394394,-0.519585,-0.496847,0.258378,-0.51031,-0.307591,-0.335096,-0.666814,0.252691,-0.537905,-0.607047,-0.522553,-0.643747,0.411874,-0.512159,-0.518046,0.00645639,-0.40066,-0.545341,-0.570048,-0.592115,-0.624987,1.0
-0.604139,0.643027,0.614233,-0.0915397,-0.791146,-1.5069,-1.51972,-1.6093,1.0647,0.389326,0.757534,-1.16838,0.168238,1.30611,0.502534,0.381211,-1.66478,-0.0174006,1.09084,0.118325,0.444846,-1.04253,0.105492,0.925882,0.067743,0.567948,0.755795,0.880737,0.769338,0.706822,0.705273,0.699546,0.0
0.767389,-1.02769,-0.663496,-0.663226,0.249703,1.31535,1.44364,1.58699,-0.661487,-0.489381,-0.555715,0.834732,-0.623538,0.512159,-0.431024,-1.30128,1.32781,-0.705183,0.396372,-0.525092,-1.38446,1.59046,-0.800601,0.404028,-0.560922,-1.41174,-0.228225,-0.614183,-0.684794,-0.71193,-0.759164,-0.824388,1.0
-0.87493,1.90079,3.21638,1.91271,-1.11081,0.0805458,0.0220978,-0.0549398,3.75514,2.84419,3.5989,0.490101,2.22579,-2.04007,2.09871,1.80982,-0.156894,2.13104,-1.29481,1.95004,1.77722,-0.392705,2.33079,-2.03192,2.27632,1.97395,1.03127,1.73285,2.22975,2.44772,2.5119,2.51132,0.0
0.36483,-0.918086,-0.686503,-0.872961,0.0284145,0.644406,0.671052,0.71161,-0.210694,-0.722993,-0.798462,-0.233052,-1.01298,-0.0276149,-0.67437,-1.54651,0.988727,-0.833073,0.134416,-0.606168,-1.11976,1.30676,-0.807697,0.384839,-0.5643,-1.15438,0.0849933,-0.439689,-0.65663,-0.655121,-0.665475,-0.658429,1.0
-0.879298,1.82111,2.03312,2.47332,-1.1249,-1.83454,-1.85619,-1.84321,1.27073,0.715187,1.72257,-1.41178,2.16192,0.860198,1.59738,1.9919,-2.36731,2.41322,2.58512,2.47435,1.8292,-2.2595,2.65154,1.34363,2.04421,2.15791,1.03251,1.64909,1.91659,1.9973,2.03416,2.03974,0.0
0.370177,-0.816722,-0.707641,-0.660078,0.23624,1.71335,1.77204,1.80952,-0.269032,-0.751618,-0.808147,1.54995,-0.456839,0.192894,-0.535646,-0.417181,1.48115,-0.721854,0.0893009,-0.573665,-0.862087,1.62934,-0.65605,0.209445,-0.47365,-0.726451,-0.155415,-0.682525,-0.8197,-0.840739,-0.851213,-0.863296,1.0
3.19399,-1.82634,-0.937265,-0.252971,3.32801,-0.279497,-0.265474,-0.21775,-1.13192,-0.891351,-0.646525,-0.377753,-0.0192396,0.361522,-0.493529,-0.715368,-0.14596,-0.505053,0.262156,-0.573396,-1.13029,0.121563,-0.604509,0.416531,-0.541253,-0.759183,-3.40364,-2.27881,-1.64477,-1.44349,-1.35446,-1.30096,1.0
