0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,label
-1.0938,0.276155,-0.375256,-0.16306,1.61892,1.06469,-0.355916,-0.330258,-1.1172,-1.21049,-1.54226,-0.588542,0.602445,-0.565713,-0.087457,-1.35745,-0.675609,0.421473,-0.639427,-0.220552,-1.92374,-0.630801,0.536397,-0.59292,-0.246929,1.0
-1.85429,-2.28455,-0.0788514,1.14738,2.32306,0.742197,-0.256874,-1.2709,-0.927026,-2.31433,0.657388,-0.728113,0.559066,-0.615798,-0.32684,0.945457,-0.65379,0.635449,-0.664844,-0.0983318,0.690892,-0.710022,0.606963,-0.630971,-0.309549,1.0
0.742676,0.482424,0.463603,0.600106,-0.128727,-0.861298,-1.06842,-0.153995,0.0503854,0.547282,-0.312077,1.17835,-0.905127,0.828824,1.17092,-0.153475,1.26817,-1.30085,1.17698,1.13875,-0.239213,1.2986,-1.24858,1.13791,1.18659,1.0
-0.976222,-0.624564,-0.714061,-1.22722,1.05028,1.39111,1.23495,9.94621e-06,-0.356645,-1.07067,-2.4683,-0.950285,0.650352,-0.646893,-1.16837,-2.04646,-1.04673,0.656159,-0.757179,-1.36512,-2.65988,-0.969965,0.696519,-0.679097,-1.18256,0.0
0.997722,1.02581,-0.242601,0.30597,0.541095,-1.29339,-1.42964,0.289778,-0.114674,0.864617,0.533979,0.539756,-0.743316,0.360704,0.762917,0.114884,1.21066,-1.73122,1.19358,1.00077,0.159822,0.933443,-1.22754,0.797909,0.932933,1.0
0.690422,1.33258,-0.0402803,-1.24755,-1.99607,0.269098,1.63905,1.03398,-0.109186,1.7975,-1.78667,-1.08467,0.600466,-0.663755,-1.8476,-1.05573,-1.15486,0.637798,-0.771312,-2.07238,-1.18373,-1.07394,0.683505,-0.690552,-1.83194,0.0
0.251357,0.880339,-0.227759,-1.19694,-0.491809,1.04809,0.40741,-0.431069,-0.234205,0.938721,-0.603555,-0.85716,0.703066,-0.615888,-0.794641,-0.0710052,-0.968946,0.713231,-0.727554,-0.989635,0.128757,-0.881269,0.759258,-0.649482,-0.888545,1.0
0.0275166,-0.795261,1.4436,1.65596,0.0111046,-0.806395,-0.784966,-0.769753,-0.578896,-0.189937,1.08237,0.051385,-0.28627,-0.067157,0.441994,1.50989,-0.0444882,-0.525213,-0.0781317,0.374007,1.42944,0.038811,-0.338064,-0.0387509,0.376326,1.0
0.496807,-0.239263,0.696079,0.867805,-0.621596,-0.949335,-0.719118,0.323372,0.259803,0.442224,0.811223,1.68412,-2.37651,1.81855,0.966977,0.722326,2.16994,-2.98272,2.66246,0.997202,0.799529,1.64941,-2.39232,1.87406,0.965877,1.0
-0.506262,-0.624694,1.64683,1.09218,1.0164,0.362233,-0.214435,-1.4915,-1.1964,-1.62031,-0.768134,0.683366,0.0810604,0.284731,1.06642,-0.990285,0.374447,0.365231,0.0334737,0.924148,-0.514068,0.519616,0.0382214,0.205,0.970405,1.0
-0.67322,-0.0333836,-0.605044,-0.683515,2.31077,1.9639,-0.695589,-1.6761,-1.13012,-1.47978,-0.018301,-0.0117141,0.3881,-0.292617,0.569801,0.140321,0.670722,-0.944667,0.540555,0.848555,0.241192,0.485592,-0.547892,0.331838,0.800558,1.0
0.590571,1.2438,0.0207998,-0.412518,0.866936,0.685714,-0.824186,-1.18472,-0.855931,0.0216395,-1.11149,0.168358,0.722566,-0.221801,0.658148,-1.06353,-0.0253076,0.913373,-0.310588,0.506162,-0.927796,0.0250877,0.665224,-0.271557,0.578187,1.0
1.53858,1.07868,0.692381,0.568741,-0.359314,-1.12333,-1.14302,-0.176714,-0.268558,1.02235,-0.165569,2.1546,-0.852103,1.58009,1.50032,-0.878,1.74613,0.160052,1.44472,1.3511,-0.523034,1.97488,-0.611031,1.45156,1.44922,1.0
