0,1,2,3,4,5,6,7,8,label
0.550923,0.00262502,0.971919,-0.103959,0.712847,-0.00723327,0.146583,-0.274882,-0.31053,0.0
0.639298,-0.00694545,-0.942184,-0.0146757,-2.53655,0.0737542,-1.23825,2.16898,2.43674,0.0
0.550923,0.00262502,0.859668,0.0179802,-1.13018,-0.00723327,-0.00567557,1.44899,1.24902,0.0
-0.836535,0.0154221,-0.936349,-0.00640754,0.0677874,-0.157662,0.222712,-0.461247,-0.466485,1.0
-0.346844,0.00262502,-1.16085,-0.00640754,0.436393,0.0261954,-0.462451,-0.92716,-0.544463,1.0
2.67292,0.0410163,-0.0383408,0.139919,-2.69676,-0.00723327,-2.51794,2.80014,3.58835,0.0
0.632539,0.0538134,1.53317,-0.00640754,0.159939,-0.00723327,0.4511,0.423987,0.157335,0.0
-0.918752,-0.00694545,-0.492013,-0.366214,-0.678719,0.0146512,0.525682,0.477451,0.0848308,1.0
-0.265229,0.00262502,0.410663,-0.0551831,0.436393,-0.00723327,0.527229,-0.274882,-0.544463,1.0
0.387693,0.0410163,-0.711847,-0.00640754,0.89715,0.0763384,-0.843097,-1.2533,-0.544463,1.0
-0.918151,-0.0229692,1.30867,-0.00640754,0.0677874,-0.124234,1.7453,0.470578,-0.466485,1.0
-0.265229,0.00262502,-0.936349,-0.00640754,0.436393,-0.0406619,-0.462451,-0.833977,-0.466485,1.0
-0.59169,-0.0229692,-0.487345,-0.00640754,0.344242,-0.00723327,0.146583,-0.55443,-0.544463,1.0
0.306078,0.00262502,0.0739102,0.0179802,0.804999,-0.0239476,-0.310193,-0.787386,-0.544463,1.0
0.550923,-0.0101721,1.08417,-0.00640754,0.712847,0.0484811,0.222712,-0.228291,-0.31053,0.0
-0.59169,0.00262502,-0.375094,-0.0307953,0.159939,-0.0406619,0.298841,-0.368065,-0.466485,1.0
-0.59169,0.00262502,2.43118,-0.00640754,0.159939,-0.029519,2.20207,0.796717,-0.466485,1.0
2.99938,0.00262502,0.298412,-0.0307953,-1.31448,0.154339,-2.59407,1.49559,2.57464,0.0
-0.918151,0.00262502,-0.824098,-0.00640754,-0.669424,0.00948106,0.298841,0.284213,0.0793579,1.0
-0.918151,0.00262502,-0.936349,-0.00640754,-2.51245,-0.0239476,0.298841,2.19446,1.71689,1.0
4.79491,-0.0229692,2.54343,-0.0551831,1.63436,-0.163234,-2.74633,-0.601021,0.937111,0.0
0.632539,0.00262502,-0.599596,-0.00640754,0.89715,-0.0852335,-0.995356,-1.16012,-0.466485,1.0
-0.918151,0.00262502,-1.16085,0.0911436,-0.485121,-0.0128047,0.0704537,0.0512568,0.00138029,1.0
-0.265229,-0.0101721,0.0739102,-0.128346,0.528545,0.0206239,0.298841,-0.507838,-0.544463,1.0
2.83615,-0.0485633,0.0739102,-0.00640754,-1.86739,-0.00723327,-2.51794,2.00809,2.96453,0.0
-0.590741,-0.0586242,-0.492013,-0.0146757,0.157307,-0.0937042,0.295605,-0.368312,-0.463947,1.0
-0.0203832,-0.0485633,-0.375094,-0.00640754,0.528545,-0.00723327,-0.234063,-0.740795,-0.466485,1.0
0.550923,0.00262502,-0.936349,-0.177122,-2.97321,-0.0740906,-1.22374,2.66037,2.80857,0.0
-0.918151,0.00262502,-0.711847,-0.00640754,-0.485121,-0.0852335,0.374971,0.191031,0.00138029,1.0
-0.101998,0.0154221,-0.711847,0.139919,0.528545,-0.00723327,-0.386322,-0.880569,-0.544463,1.0
0.721301,0.0188939,1.19613,-0.0146757,0.993334,-0.00833329,0.14222,-0.55626,-0.542344,1.0
0.550923,0.00262502,1.08417,0.164307,0.0677874,-0.00723327,0.222712,0.377396,0.235313,0.0
0.550923,0.00262502,0.859668,0.188695,0.528545,-0.00723327,-0.00567557,-0.228291,-0.232552,0.0
-0.918151,0.00262502,0.971919,-0.00640754,-1.13018,0.12091,1.51691,1.54218,0.547223,1.0
-0.262731,0.00597425,1.87138,-0.0146757,0.435983,-0.00833329,1.59938,0.336491,-0.542344,1.0
-0.101998,-0.0101721,-0.262843,0.188695,0.528545,-0.00723327,-0.00567557,-0.647612,-0.544463,1.0
-0.918151,0.00262502,-1.0486,-0.0795709,-0.208667,0.0707669,0.146583,-0.274882,-0.31053,1.0
0.632539,0.0154221,1.30867,-0.152734,0.804999,-0.00723327,0.298841,-0.228291,-0.388508,0.0
0.142847,0.0154221,0.635166,0.0667558,0.712847,-0.00723327,0.298841,-0.414656,-0.544463,1.0
-0.673305,-0.0357662,-1.0486,-0.0551831,0.159939,-0.00723327,-0.0818048,-0.647612,-0.466485,1.0
2.67292,-0.0229692,-0.0383408,-0.00640754,-2.6046,-0.00723327,-2.51794,2.66037,3.51037,0.0
-0.918752,-0.00694545,0.858499,-0.0146757,-1.14318,0.0540532,1.3693,1.46418,0.555212,1.0
-0.918752,-0.00694545,0.858499,-0.0146757,-0.864502,0.0277852,1.3693,1.22924,0.320021,1.0
0.061232,0.00262502,1.08417,-0.00640754,0.528545,-0.0963763,0.679488,-0.135108,-0.466485,1.0
2.11535,-0.149062,-0.717099,-0.541982,-3.46547,0.0080842,-2.54202,3.24968,4.00467,0.0
-0.346844,0.00262502,-0.262843,-0.00640754,0.436393,0.0874812,0.146583,-0.55443,-0.544463,1.0
0.632539,0.00262502,0.0739102,-0.00640754,0.989302,0.0819098,-0.462451,-0.973751,-0.544463,1.0
-0.918151,0.00262502,2.09443,-0.00640754,-0.761575,0.104196,2.2782,1.63536,0.157335,1.0
0.061232,0.00262502,0.298412,-0.00640754,0.712847,0.12091,0.222712,-0.55443,-0.544463,1.0
