0,1,2,3,label
-0.535384,-0.12454,0.420157,0.394849,0.0
-0.897674,1.7205,-1.28012,-1.17756,1.0
-1.50149,0.797981,-1.33679,-1.17756,1.0
0.793012,-0.12454,1.15694,1.31209,0.0
1.1553,-0.585801,0.590184,0.263815,0.0
-0.293857,-0.12454,0.420157,0.394849,0.0
-0.535384,0.797981,-1.28012,-1.04652,1.0
-1.74302,-0.12454,-1.39347,-1.30859,1.0
-1.50149,0.33672,-1.33679,-1.30859,1.0
1.03454,0.10609,0.363481,0.263815,0.0
0.672249,-0.355171,0.306805,0.132781,0.0
1.51759,-0.12454,1.21362,1.18105,0.0
1.27607,0.10609,0.930239,1.18105,0.0
-0.293857,-0.12454,0.193454,0.132781,0.0
-0.0523308,-0.816431,0.760212,0.918985,0.0
-0.414621,-1.50832,0.023426,-0.129287,0.0
0.793012,-0.12454,0.986915,0.787951,0.0
-0.173094,-0.585801,0.420157,0.132781,0.0
0.430722,-1.96958,0.420157,0.394849,0.0
0.551486,0.567351,1.27029,1.70519,0.0
-0.897674,1.02861,-1.33679,-1.17756,1.0
-0.0523308,-0.816431,0.193454,-0.260321,0.0
1.03454,-0.12454,0.816888,1.44312,0.0
0.551486,-0.816431,0.64686,0.787951,0.0
1.27607,0.10609,0.760212,1.44312,0.0
1.63836,1.25924,1.32697,1.70519,0.0
0.793012,0.33672,0.760212,1.05002,0.0
1.03454,0.567351,1.10027,1.18105,0.0
-1.01844,1.25924,-1.33679,-1.30859,1.0
-0.414621,1.02861,-1.39347,-1.30859,1.0
-1.01844,0.33672,-1.45015,-1.30859,1.0
-1.01844,-0.12454,-1.22344,-1.30859,1.0
-1.50149,1.25924,-1.5635,-1.30859,1.0
-0.0523308,2.18176,-1.45015,-1.30859,1.0
0.0684325,-0.12454,0.760212,0.787951,0.0
1.27607,0.10609,0.64686,0.394849,0.0
0.672249,-0.585801,1.04359,1.31209,0.0
-1.1392,-1.27769,0.420157,0.656917,0.0
0.551486,-0.355171,1.04359,0.787951,0.0
-1.01844,-1.73895,-0.259953,-0.260321,0.0
-1.25996,0.797981,-1.22344,-1.30859,1.0
2.24217,-0.12454,1.32697,1.44312,0.0
-1.01844,1.02861,-1.22344,-0.784457,1.0
0.309959,-0.12454,0.476833,0.263815,0.0
-0.293857,-0.585801,0.64686,1.05002,0.0
1.1553,0.33672,1.21362,1.44312,0.0
-0.414621,-1.73895,0.136778,0.132781,0.0
1.03454,-0.12454,0.703536,0.656917,0.0
1.63836,-0.12454,1.15694,0.525883,0.0
0.672249,-0.585801,1.04359,1.18105,0.0
-0.0523308,-1.04706,0.136778,0.00174712,0.0
0.309959,-0.585801,0.533509,0.00174712,0.0
1.75912,-0.355171,1.44032,0.787951,0.0
-0.293857,-0.355171,-0.0899257,0.132781,0.0
2.12141,-0.12454,1.61035,1.18105,0.0
-0.535384,0.797981,-1.16677,-1.30859,1.0
-0.535384,1.95113,-1.39347,-1.04652,1.0
0.793012,-0.585801,0.476833,0.394849,0.0
-0.776911,2.41239,-1.28012,-1.43963,1.0
-0.776911,1.02861,-1.28012,-1.30859,1.0
0.551486,0.797981,1.04359,1.57416,0.0
0.189196,0.797981,0.420157,0.525883,0.0
-0.173094,3.10428,-1.28012,-1.04652,1.0
-0.414621,-1.04706,0.363481,0.00174712,0.0
-0.173094,-1.27769,0.703536,1.05002,0.0
-1.74302,-0.355171,-1.33679,-1.30859,1.0
0.189196,-0.355171,0.420157,0.394849,0.0
-0.897674,1.7205,-1.22344,-1.30859,1.0
0.189196,-0.816431,0.760212,0.525883,0.0
0.672249,-0.816431,0.873564,0.918985,0.0
-0.776911,0.797981,-1.33679,-1.30859,1.0
-1.62225,-1.73895,-1.39347,-1.17756,1.0
-1.01844,0.797981,-1.28012,-1.30859,1.0
-1.25996,0.10609,-1.22344,-1.30859,1.0
1.87988,-0.585801,1.32697,0.918985,0.0
-1.25996,0.797981,-1.05341,-1.30859,1.0
1.03454,0.10609,1.04359,1.57416,0.0
2.24217,-1.04706,1.78038,1.44312,0.0
-1.1392,-0.12454,-1.33679,-1.30859,1.0
-1.01844,-2.43084,-0.146601,-0.260321,0.0
-1.25996,-0.12454,-1.33679,-1.43963,1.0
-0.897674,-1.27769,-0.429981,-0.129287,0.0
1.1553,-0.12454,0.986915,1.18105,0.0
0.430722,-0.585801,0.590184,0.787951,0.0
-0.173094,-0.12454,0.250129,0.00174712,0.0
0.551486,-1.27769,0.64686,0.394849,0.0
0.0684325,-0.12454,0.250129,0.394849,0.0
-1.01844,0.797981,-1.22344,-1.04652,1.0
-0.535384,1.95113,-1.16677,-1.04652,1.0
-0.897674,1.7205,-1.05341,-1.04652,1.0
-0.0523308,-0.816431,0.760212,0.918985,0.0
-0.414621,2.64302,-1.33679,-1.30859,1.0
1.63836,0.33672,1.27029,0.787951,0.0
-1.1392,-1.50832,-0.259953,-0.260321,0.0
-0.414621,-1.50832,-0.0332498,-0.260321,0.0
0.309959,-1.04706,1.04359,0.263815,0.0
1.39683,0.33672,0.533509,0.263815,0.0
-0.0523308,-0.816431,0.0801018,0.00174712,0.0
0.551486,0.567351,0.533509,0.525883,0.0
-0.173094,1.7205,-1.16677,-1.17756,1.0
-1.01844,1.02861,-1.39347,-1.17756,1.0
0.913776,-0.355171,0.476833,0.132781,0.0
-1.1392,0.10609,-1.28012,-1.43963,1.0
0.672249,0.33672,0.420157,0.394849,0.0
0.309959,-0.355171,0.533509,0.263815,0.0
