0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,label
-2.18264,-2.31791,-1.71404,1.59856,2.08412,2.26838,1.93815,-1.3388,-1.48433,-2.16964,-0.359013,-0.697317,0.0599471,-0.587148,-0.395703,-0.632943,-0.420599,-0.0544502,-0.384229,-0.30894,0.12751,-0.375244,0.0326621,-0.337215,-0.231303,1.0
0.962122,0.803379,-0.596373,-1.14297,-0.726072,-0.999821,-0.975195,0.829205,1.03344,1.09292,1.58629,-0.353286,0.196902,-0.488842,-0.296248,1.62134,-0.524013,-0.150857,-0.439959,-0.567199,1.66405,-0.459138,-0.0814853,-0.361052,-0.542702,0.0
-2.375,-2.48503,-1.95958,1.50838,1.90494,2.46614,2.66302,-1.12263,-1.05092,-2.21511,-1.53917,-0.0119935,0.618361,-0.340154,-0.0499927,-1.79797,-0.76598,0.150807,-0.599871,-0.880207,-1.26167,-0.661037,0.408536,-0.54697,-0.54632,0.0
0.497117,0.423098,-0.0343112,-0.495128,-0.508391,-0.579072,-0.136085,0.420719,0.4924,0.607017,0.2907,-0.563891,0.190266,-0.56527,-0.288462,1.255,-0.508661,0.010794,-0.462906,-0.199121,1.43125,-0.562592,0.184519,-0.459108,-0.469353,0.0
0.092819,-0.0532008,1.23987,0.994894,-0.158093,-0.230903,-0.511859,-0.240638,-0.0968068,-0.202369,0.87566,0.67482,-1.13815,0.490541,1.18297,0.21817,0.815442,-0.813024,0.40092,1.29536,-0.184969,0.971807,-1.12434,0.643437,1.37172,1.0
0.680067,0.409635,0.992605,0.0836741,-0.429704,-0.198891,0.247084,-0.0324022,0.0770278,-0.0178201,0.620649,1.46554,-2.20133,1.70644,1.57913,-0.161251,1.48922,-1.15776,1.03767,1.58575,-0.276578,1.81022,-1.92512,1.55,1.76476,0.0
0.445605,0.701135,-0.180981,-0.816822,-0.541903,-0.797023,-0.782191,0.737385,0.484154,0.906922,0.353006,-0.446435,0.174304,-0.499276,-0.487433,0.470552,-0.624288,0.159862,-0.535976,-0.472101,0.357314,-0.653052,0.365899,-0.504783,-0.575704,0.0
0.464745,0.0551397,0.730359,0.430774,-0.326781,-0.143301,-0.526591,-0.0580981,0.0776774,0.0291941,0.923193,2.13524,-2.42228,1.76564,1.7059,-0.317726,2.28651,-2.22973,1.91055,1.70897,-1.63551,1.49119,-1.30456,0.903704,1.60436,0.0
0.828875,0.963521,-0.693909,-0.928491,-0.604678,-0.634762,-0.446035,0.793725,0.937476,0.612444,-1.26798,0.456949,-0.0731199,0.514697,0.839839,-0.839379,-0.0194095,-0.150258,-0.0181303,0.410445,-0.447325,1.11404,-2.94315,2.17473,0.860668,0.0
-2.21077,-2.26557,-0.800941,2.31717,2.46509,2.44773,0.651722,-2.55194,-2.47127,-2.35451,0.0403278,-0.791506,-0.0300136,-0.641748,-0.590726,-0.0369996,-0.527421,0.092729,-0.508971,-0.092849,-0.298886,-0.668274,0.331658,-0.527121,-0.576594,1.0
0.659318,0.639509,-0.702505,-0.994155,-0.6195,-0.871352,-0.996943,1.13891,1.0664,0.908741,-0.726062,-0.776574,0.14553,-0.557314,-1.05748,-0.969868,-0.684255,0.171756,-0.52929,-0.926602,-2.35333,-0.707552,0.384399,-0.513178,-0.895449,1.0
0.69229,0.641138,-0.506972,-0.897488,-0.605458,-0.859688,-1.30837,0.89272,0.723003,1.02025,0.525532,-0.349668,0.295818,-0.521854,-0.661317,0.978473,-0.6372,0.195812,-0.572386,-0.767299,0.758204,-0.661037,0.366669,-0.531568,-0.595693,0.0
0.621969,1.04509,-0.564111,-1.01052,-0.618341,-0.816772,-0.320804,0.754716,0.684574,0.860008,-0.527621,-0.939555,0.0910001,-0.627046,-1.5744,-0.0645045,-0.841318,0.124172,-0.597832,-1.46902,-0.096607,-0.803599,0.379322,-0.554935,-1.27333,1.0
-0.330129,-0.390636,1.60337,1.64504,0.101404,0.087652,-0.703494,-0.830434,-0.698976,-0.431703,1.00774,2.49017,-3.11204,2.97541,1.78342,0.500555,3.00633,-3.23814,3.45096,1.83047,0.38208,2.76838,-3.43587,2.9235,1.68542,1.0
-1.97353,-1.97962,-1.48449,0.613823,1.14288,1.44482,2.19088,0.020009,0.209715,-1.35408,-0.540004,-0.406997,0.214003,-0.586538,-0.794274,-0.130278,-0.69343,0.188956,-0.599671,-1.26106,-0.0961173,-0.770078,0.396133,-0.566159,-1.1006,0.0
-2.13105,-2.23124,-1.07813,2.10119,2.55111,2.00128,0.717906,-2.34118,-2.03854,-2.26913,-0.470952,0.213223,0.398411,-0.170647,0.862047,-0.702065,0.2739,0.361372,-0.101155,0.864856,-0.516906,-0.0445358,0.208046,-0.27251,0.60059,1.0
-0.213883,-0.231383,1.95855,1.03122,0.0451951,0.247554,0.691621,-0.813774,-1.01734,-0.462436,-1.20104,0.950408,0.964961,0.680307,1.40582,-1.96728,0.968768,1.09695,0.698576,1.38965,-1.37495,1.32152,0.776914,0.755116,1.67714,1.0
-2.16406,-2.3128,-1.08126,3.50081,2.76971,1.44825,-0.832473,-2.36255,-2.48986,-2.36345,1.62369,-0.354466,-0.252621,-0.497887,0.2908,0.482885,0.517716,-0.20021,0.039798,1.14542,0.903024,-0.0434963,0.0703814,-0.320364,0.63684,1.0
-0.0954677,0.268083,1.73526,0.308121,-0.150927,0.171726,1.35767,-0.304653,-0.740104,-0.34643,0.352437,0.588717,-0.442427,0.500735,1.15607,-0.181091,0.391335,0.357394,0.19987,0.991306,-0.150777,0.511029,-0.121124,0.313938,1.10223,1.0
-0.125601,-0.227555,1.16596,1.15384,0.0258757,0.0297838,-0.772246,-0.679307,-0.596373,-0.184708,0.847595,1.61095,-2.14095,1.92543,1.59934,0.205038,1.78117,-1.66076,1.68195,1.66758,0.251462,1.85869,-2.03011,1.70132,1.61312,0.0
0.483335,-0.113958,0.388457,-0.40169,-0.248914,0.215072,0.513678,-0.137465,0.0736196,0.0638351,0.805798,0.476998,0.0873221,0.0357702,0.726071,0.708041,0.862007,-1.97424,1.13589,0.635721,0.577363,0.499116,-1.24591,0.520515,0.432582,1.0
0.719075,1.04423,-0.43768,-0.673271,-0.471931,-0.381291,-0.27242,0.791086,0.693779,0.217591,-1.1933,0.445965,1.74734,0.758224,0.548969,-1.01648,0.330938,1.53218,0.484844,0.507592,-0.479287,0.422688,0.807977,0.317866,0.628025,1.0
0.628085,0.653212,0.0458248,-0.870912,-0.660778,-0.903624,-0.349408,0.730199,0.685864,0.907672,1.32879,-0.314647,0.435311,-0.483565,-0.548869,1.68889,-0.631883,0.27334,-0.563611,-0.786339,1.66917,-0.713479,0.389296,-0.548309,-0.953527,0.0
0.192304,0.379272,0.161891,-0.0862626,-0.249583,0.185568,-0.584269,-0.223697,-0.134486,0.189716,0.184159,-0.524362,0.167328,-0.472131,-0.177962,0.83756,0.141072,-0.935987,0.100215,0.446525,0.905383,0.0995252,-0.682585,0.0282047,0.360442,1.0
0.256689,0.404518,0.519755,-0.245545,-0.446145,-0.404818,0.0288342,0.444706,0.20067,0.362751,-0.566449,-0.307551,0.150997,-0.483515,0.226276,-0.373325,-0.590556,0.0986458,-0.567449,-0.149868,-0.700546,-0.404228,0.188207,-0.471461,0.0731697,0.0
0.231993,0.222738,0.10911,-0.29135,-0.313258,-0.318715,-0.202609,0.482735,0.153566,0.367399,-0.342992,-0.897178,0.0394084,-0.641398,-1.05908,0.490471,-0.763441,0.105492,-0.577523,-0.879348,0.534816,-0.739315,0.358383,-0.538285,-0.898437,1.0
0.999582,1.06807,-1.09995,-1.12075,-0.682026,-0.866455,-1.16782,1.00911,1.1202,0.916197,-2.12518,-0.490141,0.589986,-0.0988359,-0.43693,-1.96317,-0.256399,0.237919,-0.204768,0.0576784,-1.34549,-0.14552,0.256899,-0.221648,0.194693,1.0
