0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,label
0.10203,-0.546113,-0.597418,0.0908558,-0.139542,0.16278,-0.581735,-0.597378,-0.0932144,-0.0893264,0.104089,-0.599507,-0.664405,-0.418525,0.016162,0.0427591,-0.594919,-0.727904,-0.269338,0.0957232,0.000289878,-0.75562,0.712691,-0.580156,-0.621016,0.519646,-0.870814,0.737759,-0.692351,-0.852333,0.648503,-0.787045,0.748334,-0.624014,-0.656839,0.312887,-0.0921847,-0.271457,-0.344491,-0.385581,-0.392018,1.0
0.271257,-0.425822,-0.502454,-0.506282,1.106,0.246519,-0.36697,-0.518756,-0.44869,1.02227,0.199213,-0.268409,-0.364462,-0.294446,0.881918,0.0322742,-0.130027,-0.198593,-0.248628,0.561955,0.620056,-0.083579,-0.0946036,-0.18281,0.189178,1.18965,0.280453,-1.08556,0.330058,0.0357826,0.894922,0.014433,-0.568781,0.0904159,0.0363021,-1.06911,-1.03526,-0.882648,-0.793731,-0.750842,-0.744346,1.0
-0.195174,0.782907,1.39224,-0.725145,-0.155774,-0.190896,0.771872,1.33206,-0.739488,-0.0795611,-0.20503,0.815431,1.67461,-0.630101,-0.118942,-0.263231,0.871033,2.25838,-0.536487,-0.243121,-0.670182,2.70535,-3.7494,3.19607,1.10191,-0.655889,2.89341,-3.89583,3.56799,0.89899,-1.0131,2.75141,-3.72024,3.28651,1.13219,-0.094014,0.394647,0.667643,0.885536,1.00751,1.08289,1.0
0.363192,-0.841768,-0.851723,0.564304,0.525982,0.40941,-0.863077,-0.864107,0.472239,0.569051,0.392138,-0.893093,-0.868385,0.105808,0.643005,0.376356,-0.906426,-0.861298,-0.0434786,0.718748,-0.481524,-0.827675,0.690502,-0.614929,-0.832122,-0.0675769,-0.994843,0.672101,-0.744096,-1.06562,-0.0496056,-0.910185,0.703905,-0.658767,-0.961309,-0.374107,-0.688563,-0.794521,-0.797919,-0.794211,-0.783137,0.0
-0.646444,0.933213,0.644105,-0.626843,-0.747114,-0.65223,0.937411,0.665114,-0.638308,-0.721697,-0.648962,0.958571,0.688573,-0.568582,-0.803227,-0.646014,0.991194,0.852972,-0.562205,-0.972014,0.929975,0.413278,-0.304471,0.130956,0.786225,0.434587,0.943828,-0.711801,0.670952,1.01543,0.499276,0.634839,-0.431799,0.305301,0.921749,0.686524,0.733201,0.708283,0.703126,0.698358,0.702556,1.0
0.555358,-1.1018,-0.971824,0.985188,0.658178,0.593469,-1.09973,-0.986097,1.03847,0.647113,0.508691,-1.06622,-0.972214,1.00284,0.606483,0.30698,-0.986997,-0.921739,0.532299,0.480125,-2.2016,-0.934342,0.656489,-0.643835,-1.1272,-1.82765,-1.03106,0.679777,-0.75586,-1.26088,-2.49429,-0.934353,0.69564,-0.671291,-1.05575,-0.357695,-0.942628,-1.0408,-1.03293,-1.03119,-1.01037,0.0
0.749803,-0.689982,-1.00223,-0.535348,1.49698,0.786895,-0.656229,-1.01083,-0.460165,1.45625,0.810193,-0.573599,-0.936842,-0.169747,1.2972,0.781547,-0.432039,-0.799449,0.165289,1.06653,1.52639,-0.736139,0.467611,-0.615169,-0.596348,0.53158,1.05555,0.464392,0.180712,0.153455,0.446132,0.234245,0.274036,-0.309478,0.137303,-1.55131,-1.41243,-1.29952,-1.25117,-1.2325,-1.21394,1.0
-0.71403,1.32936,2.03028,-0.666913,-1.37281,-0.716299,1.30509,2.00055,-0.713621,-1.31963,-0.690852,1.25161,1.36654,-0.650182,-1.19018,-0.671571,1.23838,0.944278,-0.513638,-1.10223,-0.63254,1.25567,-0.267899,0.897441,1.29052,-1.13125,0.851703,0.287939,0.610321,1.12979,-0.724175,1.13692,-0.296905,0.849714,1.2475,1.14246,1.59245,1.82169,1.84583,1.81338,1.80849,1.0
-0.725465,1.3394,1.65727,-0.667333,-1.36716,-0.730302,1.33711,1.69932,-0.702146,-1.37903,-0.706114,1.31089,1.63786,-0.67488,-1.32667,-0.681566,1.28345,1.32672,-0.594829,-1.24598,-0.541335,1.28863,-0.432048,0.750043,1.29507,-1.01332,1.04603,0.121251,0.565383,1.19675,-0.545053,1.19191,-0.20361,0.582705,1.25849,1.19799,1.58454,1.77755,1.79087,1.78276,1.74994,1.0
-0.722986,1.3262,1.71885,-0.651411,-1.45668,-0.726114,1.29613,1.66153,-0.6956,-1.43355,-0.696459,1.20751,1.111,-0.635319,-1.27372,-0.669062,1.15028,0.641236,-0.480785,-1.07435,-0.0645384,1.06152,0.389389,0.469081,1.20325,-0.188388,0.701077,0.353567,0.313407,1.083,0.121581,0.814641,0.172266,0.360903,1.05135,1.25106,1.6832,1.7951,1.75321,1.63919,1.5512,0.0
