0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,label
-1.26761,-1.19486,-1.08619,-1.0719,-1.06317,-1.054,-1.04103,-1.03784,-1.00134,-0.952126,-0.921846,-0.887281,-0.855329,-0.832435,-0.819133,-0.795852,-0.797274,-0.797917,-0.763305,-0.778649,-0.775437,-0.795711,-0.81651,-0.834636,-0.816637,-0.831494,-0.820558,-0.775956,-0.71794,-0.635905,-0.568595,-0.506858,-0.62349,-0.710751,-0.760311,-0.796446,-0.829531,-0.879692,-0.863096,-0.852134,-0.848048,-0.809998,-0.81748,-0.824951,-0.83533,-0.828706,-0.8356,-0.835054,-0.845713,-0.841792,-0.854923,-0.85919,-0.87875,-0.887966,-0.912813,-0.914474,-0.921283,-0.927154,-0.929785,-0.943542,-1.00822,-1.144,-1.09042,-1.15372,0.0
0.697052,0.525625,0.576139,0.549069,0.476609,0.363939,0.255243,0.0908057,-0.023425,-0.0997778,-0.182593,-0.248356,-0.288302,-0.351018,-0.389673,-0.402652,-0.342354,-0.235687,-0.173598,-0.0869054,-0.0167174,0.0800504,0.138868,0.262729,0.458083,0.465555,0.517119,0.709119,0.566531,0.665635,0.776201,0.651504,0.408228,0.507666,0.43197,0.554414,0.576256,0.485562,0.422467,0.512003,0.277698,0.129124,0.0398791,-0.00410697,-0.0115136,-0.170707,-0.264906,-0.304367,-0.340139,-0.334938,-0.362624,-0.373749,-0.287346,-0.181813,-0.0326166,0.134079,0.317863,0.498906,0.694297,0.813688,0.914927,0.905992,1.06155,0.995912,0.0
1.64463,1.49208,1.31335,1.15891,1.12159,1.0972,0.992433,0.857405,0.707647,0.569043,0.435033,0.30071,0.204596,0.124122,0.0453612,-0.0183801,-0.0977977,-0.116445,-0.0906161,-0.0476925,-0.0135956,0.088008,0.185358,0.334224,0.507279,0.723241,0.952074,1.16785,1.35252,1.51193,1.64081,1.77767,1.98741,1.83232,1.7106,1.55906,1.40575,1.22206,1.01206,0.812185,0.638281,0.472457,0.297588,0.187552,0.0727159,-0.00296662,-0.0453366,-0.0612723,-0.0616046,-0.0356257,0.0299336,0.130681,0.222545,0.348349,0.475141,0.65017,0.807176,0.975794,1.10276,1.17413,1.20373,1.21931,1.3173,1.477,0.0
0.217437,0.134474,0.0925696,0.0557517,-0.0279179,-0.139491,-0.315259,-0.452945,-0.542269,-0.571465,-0.626697,-0.618646,-0.664598,-0.644312,-0.658637,-0.618402,-0.608096,-0.574567,-0.512485,-0.422489,-0.419753,-0.34281,-0.295561,-0.165793,-0.135256,0.0467998,0.170083,0.31706,0.422253,0.507692,0.492755,0.542273,0.612156,0.496971,0.448956,0.369467,0.238485,0.166146,0.0214928,-0.121114,-0.239925,-0.320893,-0.484998,-0.527825,-0.601181,-0.648762,-0.677349,-0.698203,-0.712276,-0.702906,-0.702225,-0.646699,-0.666016,-0.579435,-0.576566,-0.438709,-0.332441,-0.192533,-0.0476019,0.0658004,0.191941,0.285804,0.421968,0.513586,0.0
0.549698,0.502408,0.398084,0.289625,0.202793,0.12099,0.0184332,-0.0161998,-0.131121,-0.201738,-0.211204,-0.321535,-0.365691,-0.465908,-0.534792,-0.521357,-0.536861,-0.521428,-0.49083,-0.459788,-0.404844,-0.380223,-0.321399,-0.287742,-0.243404,-0.213772,-0.125396,0.00840707,0.153243,0.290153,0.42431,0.561421,0.76804,0.64482,0.527652,0.390886,0.208167,0.0337525,-0.0920802,-0.224417,-0.282278,-0.348128,-0.438337,-0.390437,-0.460667,-0.328835,-0.373304,-0.36575,-0.440134,-0.318155,-0.334993,-0.286895,-0.372497,-0.250409,-0.293555,-0.112684,-0.138899,0.0520342,0.0737857,0.129934,0.240013,0.269906,0.281726,0.339931,0.0
-1.02362,-1.06862,-1.10167,-1.09918,-1.05131,-1.07294,-1.0749,-0.935327,-0.925749,-0.848384,-0.749157,-0.527514,-0.472858,-0.442219,-0.437121,-0.40532,-0.428663,-0.511496,-0.577881,-0.501524,-0.67939,-0.73165,-0.746791,-0.804809,-0.904679,-0.989872,-1.21182,-1.27342,-1.26176,-1.25497,-1.31799,-1.29585,-1.20192,-1.02426,-0.810055,-0.898863,-1.09198,-1.25222,-1.33056,-1.44055,-1.1665,-0.928076,-0.727666,-0.641692,-0.568608,-0.443332,-0.390346,-0.273536,-0.158006,-0.0869443,-0.247319,-0.410054,-0.531945,-0.720335,-0.942158,-0.970645,-1.18071,-1.44915,-1.69956,-1.64059,-1.51058,-1.42591,-1.28435,-1.13834,0.0
-1.10508,-1.03709,-0.811481,-0.627114,-0.777176,-0.749834,-0.696621,-0.68867,-0.691196,-0.666674,-0.658964,-0.664622,-0.660472,-0.63748,-0.603972,-0.6179,-0.611048,-0.624987,-0.65757,-0.691793,-0.76082,-0.783343,-0.817456,-0.856061,-0.876292,-0.949049,-0.900938,-0.952439,-0.887602,-0.865554,-0.826567,-0.750902,-0.618958,-0.423376,-0.326662,-0.377986,-0.448668,-0.517153,-0.61848,-0.622938,-0.622712,-0.664014,-0.663055,-0.710735,-0.715926,-0.716044,-0.702715,-0.705605,-0.683553,-0.684601,-0.662158,-0.696739,-0.735598,-0.745784,-0.798496,-0.83093,-0.843271,-0.834947,-0.909182,-0.915115,-0.939763,-0.985336,-1.04929,-1.11609,0.0
1.54555,1.36863,1.21014,1.06491,0.897087,0.815378,0.80274,0.779656,0.740261,0.658494,0.558135,0.473391,0.407792,0.36665,0.309586,0.283427,0.317207,0.333784,0.361207,0.388585,0.413481,0.433729,0.46681,0.516383,0.551448,0.605295,0.677073,0.745517,0.745561,0.739564,0.734651,0.737471,0.722497,0.807206,0.862794,0.887601,0.868943,0.827988,0.743362,0.654491,0.577162,0.515815,0.457829,0.394364,0.350446,0.321096,0.304825,0.314681,0.321397,0.332646,0.401149,0.487529,0.566471,0.661903,0.728841,0.792099,0.892503,0.915843,0.960927,1.01467,1.03549,1.10273,1.26109,1.40197,0.0
-0.538295,-0.44442,-0.30983,-0.190491,-0.0350888,0.082798,0.235835,0.352701,0.430627,0.416498,0.407129,0.454801,0.406089,0.444271,0.631035,0.563258,0.423681,0.302497,0.340435,0.375939,0.463285,0.50655,0.495519,0.405477,0.290797,0.177495,0.0631379,-0.0859352,-0.226673,-0.364686,-0.43819,-0.542068,-0.557279,-0.525243,-0.437918,-0.354348,-0.257719,-0.126186,-0.0108858,0.0871198,0.174039,0.278212,0.385263,0.509562,0.617259,0.735684,0.88104,0.919395,0.748045,0.624078,0.567421,0.496367,0.420028,0.355967,0.260949,0.175907,0.0795642,0.000967643,-0.0964496,-0.183577,-0.31373,-0.389392,-0.473906,-0.548604,0.0
0.407427,0.418107,0.24168,0.0816803,-0.0785148,-0.248008,-0.431747,-0.463726,-0.567684,-0.635109,-0.678625,-0.626865,-0.625731,-0.786501,-0.803676,-0.637236,-0.497416,-0.408067,-0.59536,-0.83256,-0.806801,-0.615618,-0.476072,-0.521986,-0.7823,-0.588312,-0.377984,-0.347172,-0.368112,-0.151595,-0.206154,-0.0826852,0.0760096,0.0392268,-0.0207456,-0.118051,-0.321009,-0.103344,-0.293042,-0.497403,-0.68656,-0.588306,-0.325259,-0.133412,-0.267257,-0.414118,-0.642642,-0.844508,-0.852983,-0.658555,-0.464186,-0.389005,-0.459641,-0.662593,-0.816752,-0.748101,-0.537524,-0.38051,-0.321669,-0.295455,-0.14372,-0.0232968,0.0807439,0.148456,0.0
