0,1,2,3,4,5,6,7,8,9,10,11,label
1.14662,0.555486,0.968033,-0.298318,0.796865,0.211094,1.70481,-0.57738,0.489955,0.889386,-0.655712,0.404799,1.0
1.36487,1.0995,0.455053,0.836363,-0.456832,0.999226,1.30595,0.194581,-2.24562,-0.843012,1.04822,1.72369,1.0
0.554178,-0.989331,-0.0385478,-0.391018,0.449051,-0.744809,-0.232475,0.697121,-0.510133,-1.04953,1.12541,-0.381149,1.0
0.649424,-0.693595,-0.26406,-0.610051,0.985076,-1.50631,2.19912,-2.6495,0.102238,0.822758,-0.63469,0.598569,0.0
0.801988,-0.706959,-0.395066,-0.792934,0.344238,-0.841633,0.547627,0.413772,1.55017,0.725337,-0.814957,-0.978114,1.0
0.270283,-0.0239274,0.715404,0.0657292,0.513194,0.161213,-0.065746,-0.358912,-0.123316,0.0515818,-0.0203761,0.194216,0.0
-0.202841,-0.622195,0.0775932,0.428252,0.318543,-0.563135,-0.254971,0.715931,-0.541582,0.0998883,-0.0294313,0.647326,1.0
-1.69432,-0.599662,-0.426627,-0.640734,-0.189438,-0.151791,-1.80688,-1.32565,0.629885,0.462397,-0.508387,-0.237434,1.0
-0.575353,1.08394,-1.90658,-1.92108,-1.85085,0.80788,-0.123918,-0.0921911,0.708956,0.83436,-0.840747,-0.10163,1.0
-2.14296,0.302236,0.231618,0.878297,-0.204905,0.445596,-1.29095,-1.73977,0.0827669,0.517049,-0.636522,0.640352,1.0
-0.12248,0.0169338,1.01921,0.746616,0.788558,0.0578243,-0.5566,1.19457,-1.96525,-3.73124,2.89543,-3.24096,0.0
0.247414,0.121661,-1.16531,-1.13036,-0.625557,-0.116394,0.695823,-1.38849,-0.604644,-0.900395,0.721935,-1.08308,1.0
-0.530941,1.52152,0.764974,0.946557,-0.338027,1.38424,0.484111,-2.28556,-1.4697,0.537149,-0.538015,2.15975,1.0
0.0398533,-1.12565,-0.0879399,-0.718866,0.70946,-1.01544,-0.201427,-0.714093,-1.35538,-0.744961,0.909907,0.772227,1.0
1.05417,-0.200863,0.938629,0.298918,1.12534,-0.462354,1.34403,-1.04336,-0.113398,-0.190494,0.186874,-0.0784068,1.0
1.53448,1.24428,0.512199,0.0136442,-0.0633574,0.978521,1.46159,-0.255684,-0.0519929,0.543476,-0.549063,0.595277,1.0
-0.384385,0.995299,-0.253056,0.321857,-0.924141,1.0116,0.276981,-0.643656,1.38974,2.34885,-1.80224,1.69196,0.0
-0.947389,-0.152983,-1.02808,-0.606252,-0.83808,0.0213255,-0.87564,-1.03031,-0.550944,0.187417,-0.150461,0.745828,0.0
0.638549,-0.459284,0.118493,-2.14595,1.13738,-0.882697,0.405365,1.83832,-0.187664,-0.945499,0.705566,-1.15228,0.0
-0.159324,-0.2896,-0.447142,-1.32089,0.269859,-0.468538,-0.0343722,-0.338138,-0.413951,0.205394,-0.109418,0.545323,0.0
0.969466,0.0260395,1.49599,0.689728,1.06642,0.159568,0.478831,0.742468,-1.20177,-0.786633,0.899236,0.584173,1.0
-1.04709,0.234769,-1.11032,-1.52609,-0.804771,0.238919,-1.06961,0.683297,-0.627608,-0.734222,0.736763,0.221764,1.0
1.54488,-0.876017,-0.592093,0.147874,-0.114862,-0.947881,1.31363,-0.156432,-0.281118,-0.490075,0.517739,-0.246757,1.0
0.532282,0.156228,1.78872,1.12838,1.3834,0.0615968,0.499341,1.31593,-0.390048,-0.348928,0.394111,0.210564,1.0
-1.38712,1.57273,1.94789,2.01649,0.264741,1.88541,-1.2225,-0.063696,0.893204,0.574642,-0.618117,-0.356276,1.0
0.943303,1.01002,0.456277,1.5745,-0.5727,1.03163,0.430588,2.57925,1.61566,1.53227,-1.69591,-0.184511,0.0
1.05077,-0.478195,0.530384,-0.604051,1.18422,-0.796066,1.29426,-1.21317,-0.300493,0.408445,-0.385486,0.6628,1.0
