0,1,2,3,label
1.19896,0.978945,0.978945,-0.978945,1.0
1.19896,-0.978945,-0.978945,-0.978945,1.0
-1.19896,0.978945,-0.978945,0.978945,0.0
1.19896,-0.978945,-0.978945,0.978945,1.0
0.0,0.978945,0.978945,0.978945,1.0
-1.19896,-0.978945,0.978945,0.978945,0.0
-1.19896,-0.978945,-0.978945,-0.978945,1.0
1.19896,-0.978945,0.978945,-0.978945,1.0
0.0,0.978945,-0.978945,0.978945,0.0
-1.19896,-0.978945,0.978945,-0.978945,1.0
1.19896,-0.978945,0.978945,0.978945,0.0
0.0,-0.978945,-0.978945,0.978945,0.0
1.19896,0.978945,-0.978945,0.978945,0.0
1.19896,0.978945,0.978945,0.978945,1.0
-1.19896,0.978945,0.978945,-0.978945,1.0
1.19896,0.978945,-0.978945,-0.978945,1.0
