0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,label
-1.07191,-1.19962,-0.0913304,-0.0913466,-0.346114,-0.311595,-0.138261,-0.375506,1.10322,1.05967,-0.699694,1.22364,-1.22364,-0.15862,-1.04272,0.283376,-0.876074,-0.465749,-0.682879,0.796196,0.879577,-0.59725,-0.898205,-0.0507792,1.1648,1.13402,-0.769831,0.0
-1.04887,-1.17551,0.916905,0.916878,-0.348823,-0.321555,-0.154674,-0.381334,0.636433,0.578155,1.37531,1.22364,-1.22364,0.385982,-1.00602,-0.606895,-0.369541,-0.484405,-0.317452,0.796196,0.879577,-0.676091,-0.898205,-0.380264,0.890678,0.484013,-0.993427,1.0
-1.02198,-0.811781,-0.230071,-0.229995,2.61589,2.27133,0.92626,3.1079,-1.88424,0.631656,-0.409193,-0.816812,0.816812,-0.703223,-0.920936,0.836335,1.34669,1.55422,-1.6057,-1.80247,0.879577,2.14913,1.88391,1.91161,-0.0381091,0.287732,1.22132,0.0
-0.372843,-0.369683,-0.270067,-0.270089,-0.33141,-0.095798,-0.114814,-0.35768,0.885388,1.11317,-0.616694,1.22364,-1.22364,0.0229139,0.72965,2.34003,-1.32911,0.139734,0.313106,-1.96596,-1.1936,-0.297477,0.872516,-0.713271,-1.74255,0.855735,1.00686,0.0
1.27113,1.26005,0.249601,0.249576,-0.348436,-0.324875,-0.168743,-0.381647,0.200761,0.203643,1.63815,1.22364,-1.22364,0.113681,0.667591,-0.864797,1.27623,-0.445397,1.01354,0.796196,-1.1936,-0.664049,-0.532558,-0.796468,-0.332598,0.257484,-1.00816,0.0
1.06563,1.03699,0.555492,0.555464,-0.355015,-0.334835,-0.171088,-0.389183,0.543075,0.257144,1.36148,1.22364,-1.22364,0.385982,0.996574,-1.10521,0.845696,-0.484405,0.479994,0.796196,0.879577,-0.914642,-0.898205,-0.887588,0.23302,0.334114,-1.17902,1.0
0.172586,0.102558,0.300008,0.299982,-0.35308,-0.334835,-0.168743,-0.389427,-0.203791,-0.759388,-0.672027,1.22364,-1.22364,0.749051,2.13166,-1.44471,0.577488,-0.465749,0.479994,0.796196,0.879577,-0.828323,-0.898205,-0.796468,0.378168,-0.655354,-1.15486,0.0
-1.02198,-0.8158,-0.262081,-0.262025,2.2237,2.16177,0.801988,2.61545,-1.72864,0.578155,-0.423026,-0.816812,0.816812,-0.703223,-0.920602,0.509223,1.09287,1.53387,-1.57774,-1.96596,-1.1936,2.07156,1.87353,1.70097,-0.431626,0.225891,1.22132,0.0
0.0957651,0.0302145,0.239962,0.240022,-0.178947,0.0403201,0.187661,-0.200577,0.231881,0.578155,-0.658194,-0.816812,0.816812,0.385982,1.93147,0.658573,-1.83417,-0.416564,-2.1117,0.796196,0.879577,0.626053,-0.532558,1.78043,1.6833,-0.227167,1.22132,0.0
-1.0796,-1.20565,-0.719103,-0.719123,-0.352112,-0.321555,-0.168743,-0.394237,-1.51081,-2.47144,-0.713527,1.22364,-1.22364,-0.15862,-1.0624,-1.17807,0.91284,-0.453877,-0.0432784,0.796196,0.879577,-0.789916,-0.792103,-0.796468,0.196683,-2.75461,-1.1204,0.0
-1.02198,-0.8158,-0.19805,-0.197982,1.93116,1.80985,0.712887,2.28213,-1.63528,0.685158,-0.423026,-0.816812,0.816812,-0.703223,-0.920602,1.36015,1.56215,1.53387,-1.4273,-1.57539,-1.1936,2.00552,1.87353,1.83171,-0.177866,0.243368,1.22132,0.0
-0.87218,-0.992639,-0.479302,-0.479322,-0.355595,-0.338154,-0.166398,-0.390114,0.605314,0.0966394,1.59665,1.22364,-1.22364,-0.340155,-0.64467,-0.58941,0.0462368,-0.496278,0.367776,0.796196,0.879577,-0.943288,-1.01863,-0.713271,0.665669,0.217824,-1.16724,0.0
0.0996061,0.0261954,-0.755769,-0.755787,-0.354821,-0.341474,-0.166398,-0.393773,-0.701702,-2.04343,1.62431,1.22364,-1.22364,2.40101,1.34724,-0.285611,0.35392,-0.486101,1.14426,0.796196,0.879577,-0.905389,-0.898205,-0.713271,0.499158,-1.82631,-1.13012,0.0
1.05795,1.03699,-0.753608,-0.753627,-0.343406,-0.318235,-0.166398,-0.382519,-0.888419,-1.0269,-0.672027,1.22364,-1.22364,0.0229139,0.0102926,-1.75288,1.58354,-0.416564,0.573303,0.796196,-0.15701,-0.528296,-0.532558,-0.713271,-0.166287,-1.27175,-0.963673,0.0
0.287818,0.229158,1.98279,1.98277,-0.322703,-0.331515,-0.131227,-0.355675,-0.0170748,0.150141,-0.595944,-0.816812,0.816812,-0.703223,2.00855,-1.27569,-0.602701,-0.430132,1.25853,0.796196,0.879577,-0.175286,-0.611045,0.0619104,1.01686,-0.238595,-0.277272,1.0
-1.02198,-0.858,-0.0679851,-0.0679107,2.40925,1.93269,0.799643,2.8992,-1.72864,0.685158,-0.409193,-0.816812,0.816812,-0.703223,-0.920936,0.550749,0.925383,1.27608,-1.60939,-1.60996,0.879577,2.10958,1.75684,1.90148,0.189895,0.352935,1.22132,0.0
-0.511121,-0.602789,-0.619173,-0.619194,-0.346308,-0.311595,-0.166398,-0.380335,0.387478,-0.224371,-0.685861,-0.816812,0.816812,0.385982,0.389657,-1.0309,1.01577,-0.402996,0.45903,0.440629,-1.1936,-0.602574,-0.460508,-0.796468,-0.473553,-0.0476918,-0.967502,0.0
1.07139,1.04905,-0.741307,-0.741327,-0.349597,-0.311595,-0.168743,-0.384647,-0.110433,-0.170869,1.5759,1.22364,-1.22364,0.385982,1.05696,-0.970435,1.58354,-0.455573,0.00234858,0.796196,-0.15701,-0.700808,-0.611045,-0.796468,-0.166287,-0.250022,-1.04704,1.0
0.145699,0.0985387,-0.657558,-0.657578,-0.353467,-0.294995,-0.164053,-0.387897,0.231881,0.0966394,-0.685861,-0.816812,0.816812,-0.521689,2.06794,2.23367,0.107847,-0.316498,1.06492,0.467948,-1.1936,-0.844547,-0.072021,-0.713271,-0.9649,0.113635,-0.553011,0.0
0.541327,0.510493,-0.853999,-0.853967,-0.193845,-0.175477,0.0493197,-0.0479845,-0.514986,5.66082,-0.49911,-0.816812,0.816812,-0.703223,1.37093,0.914289,-1.41839,-0.333458,-1.18601,0.714241,0.879577,0.580548,-0.118324,1.33231,1.45829,4.85999,1.22132,0.0
0.95424,0.922448,-0.823783,-0.823803,-0.354821,-0.331515,-0.168743,-0.389576,0.449716,-0.170869,1.5759,1.22364,-1.22364,-0.15862,1.3062,-1.12853,1.58354,-0.475925,0.573303,0.0201805,-0.15701,-0.905389,-0.792103,-0.988392,-0.166287,0.0558259,-1.17607,1.0
-0.457346,-0.55456,-0.499599,-0.499566,-0.264852,-0.318235,0.0540092,-0.291419,0.325239,-0.170869,-0.734277,-0.816812,0.816812,-0.15862,0.535464,0.258606,-1.79248,-0.453877,-0.197424,0.796196,0.879577,0.28876,-0.792103,1.36907,1.66074,-0.135749,1.18361,1.0
0.73338,0.691352,1.14424,1.14422,-0.351145,-0.331515,-0.159364,-0.386849,0.045164,-0.331374,1.29231,1.22364,-1.22364,0.0229139,1.66622,0.00434682,0.107847,-0.472533,0.573303,0.796196,0.879577,-0.753918,-0.792103,-0.499997,0.632327,-0.43353,-0.997256,0.0
2.05854,2.08597,0.0894777,0.0894772,-0.2753,-0.248516,-0.0679183,-0.317068,-0.701702,-0.277873,1.65198,-0.816812,0.816812,0.204448,-0.941622,-0.620009,-1.2177,-0.43522,-1.06516,0.796196,0.879577,0.228932,-0.460508,0.724402,1.34968,-0.947086,1.02954,0.0
-0.597545,-0.695228,-0.661346,-0.661368,-0.355788,-0.331515,-0.178122,-0.390804,0.511955,-0.331374,-0.713527,1.22364,-1.22364,-0.15862,0.172782,-0.502715,0.0462368,-0.416564,1.60094,0.796196,-1.1936,-0.953175,-0.532558,-1.22852,-0.998242,-0.00937676,-1.16724,0.0
1.45166,1.44091,-0.858646,-0.858666,-0.358691,-0.334835,-0.178122,-0.394887,0.138522,-1.0269,-0.658194,-0.816812,0.816812,-0.340155,-0.964978,-0.936194,1.12239,-0.465749,0.479994,0.796196,-1.1936,-1.12848,-0.898205,-1.22852,-0.415853,-0.569313,-1.24678,0.0
-0.83569,-0.938382,-0.200713,-0.200722,-0.306838,-0.271755,-0.112469,-0.340865,-0.172672,-0.331374,1.65198,-0.816812,0.816812,-0.340155,-0.572267,-0.00658123,-0.524489,-0.416564,-0.454333,0.796196,0.879577,-0.00492865,-0.331359,0.30996,0.974533,-0.436219,0.677208,1.0
-0.232645,-0.305378,5.6863,5.68644,0.275734,0.362355,0.642544,0.307458,-1.47969,0.150141,-0.685861,-0.816812,0.816812,-0.703223,1.10134,0.0342168,-1.94042,-0.365683,-2.212,0.796196,0.879577,1.30381,-0.27322,2.52986,1.7408,-0.0826458,1.22132,0.0
